name	name_type	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Aswegan, Galen D."	personal				NCSU	Dspace	1840.20/8
"Atala, Onala M."	personal				NCSU	Dspace	1840.20/8
"Atasoy, Mary"	personal				NCSU	Dspace	1840.20/8
"Athavale, Manny"	personal				NCSU	Dspace	1840.20/8
"Athavale, Manohar L."	personal				NCSU	Dspace	1840.20/8
"Atherton, Linda F."	personal				NCSU	Dspace	1840.20/8
"Atherton, Robert W."	personal				NCSU	Dspace	1840.20/8
"Atherton, Thomas A."	personal				NCSU	Dspace	1840.20/8
"Athiannan, K"	personal				NCSU	Dspace	1840.20/8
"Athreya, Krishna"	personal				NCSU	Dspace	1840.20/8
"Atkinson, M."	personal				NCSU	Dspace	1840.20/8
"Atkinson, M. W."	personal				NCSU	Dspace	1840.20/8
"Atkinson, S. S."	personal				NCSU	Dspace	1840.20/8
"Atmaca, Tulin"	personal				NCSU	Dspace	1840.20/8
"Atolagbe, Tajudeen A."	personal				NCSU	Dspace	1840.20/8
"Suzuki, Atsushi"	personal				NCSU	Dspace	1840.20/8
"Attarian, A."	personal				NCSU	Dspace	1840.20/8
"Attarian, Adam"	personal				NCSU	Dspace	1840.20/8
"Attwood, G.J."	personal				NCSU	Dspace	1840.20/8
"Atulasimha, J."	personal				NCSU	Dspace	1840.20/8
"Au, Tung"	personal				NCSU	Dspace	1840.20/8
"Auclair, Paul"	personal				NCSU	Dspace	1840.20/8
"Auclair, Paul F."	personal				NCSU	Dspace	1840.20/8
"Auerkari, P."	personal				NCSU	Dspace	1840.20/8
"Augustsson, Thomas"	personal				NCSU	Dspace	1840.20/8
"Auradou, Harold"	personal				NCSU	Dspace	1840.20/8
"Austin, Andrew"	personal				NCSU	Dspace	1840.20/8
"Austin, R."	personal				NCSU	Dspace	1840.20/8
"Austin, Robert"	personal				NCSU	Dspace	1840.20/8
"Austin, Robert E."	personal				NCSU	Dspace	1840.20/8
"Austin, Sue"	personal				NCSU	Dspace	1840.20/8
"Autrusson, B."	personal				NCSU	Dspace	1840.20/8
