name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Beck, Jessica"	personal					ECU	Symphony	NCPersName
"Beck, Steve"	personal					ECU	Symphony	NCPersName
"Becker, Kate Harbes"	personal					ECU	Symphony	NCPersName
"Bedell, Gregory T. (Gregory Townsend), 1793-1834"	personal					ECU	Symphony	NCPersName
"Bedford, Denton R."	personal					ECU	Symphony	NCPersName
"Beebe, Maurice"	personal					ECU	Symphony	NCPersName
"Beebee, Archibald, -1867"	personal					ECU	Symphony	NCPersName
"Behr, Eve"	personal					ECU	Symphony	NCPersName
"Behr, Max"	personal					ECU	Symphony	NCPersName
"Beitzell, Edwin Warfield, 1905-"	personal					ECU	Symphony	NCPersName
"Belden, H. L."	personal					ECU	Symphony	NCPersName
"Belknap, Charles Eugene, 1846-1929"	personal					ECU	Symphony	NCPersName
"Bell, Corydon, 1894-1980"	personal					ECU	Symphony	NCPersName
"Bell, Elijah S."	personal					ECU	Symphony	NCPersName
"Bell, T. M."	personal					ECU	Symphony	NCPersName
"Bell, Thelma Harrington, 1896-1985"	personal					ECU	Symphony	NCPersName
"Bell, William K. (William Kenan), 1892-"	personal					ECU	Symphony	NCPersName
"Bellamy, John Dillard, 1853-1942"	personal					ECU	Symphony	NCPersName
"Belli, Giuseppe Gioachino, 1791-1863"	personal					ECU	Symphony	NCPersName
"Benâet, Laura"	personal					ECU	Symphony	NCPersName
"Benners, Bill, 1949-"	personal					ECU	Symphony	NCPersName
"Bennett, Richard"	personal					ECU	Symphony	NCPersName
"Benrey, Janet, 1944-"	personal					ECU	Symphony	NCPersName
"Benrey, Ronald"	personal					ECU	Symphony	NCPersName
"Berg, A. Scott (Andrew Scott)"	personal					ECU	Symphony	NCPersName
"Bergman, Megan Mayhew"	personal					ECU	Symphony	NCPersName
"Bergwerf, Barbara J."	personal					ECU	Symphony	NCPersName
"Berkeley, M. J. (Miles Joseph), 1803-1889"	personal					ECU	Symphony	NCPersName
"Berman, Rita"	personal					ECU	Symphony	NCPersName
"Bermanzohn, Paul C., 1949-"	personal					ECU	Symphony	NCPersName
"Bermanzohn, Sally A., 1947-"	personal					ECU	Symphony	NCPersName
"Bernard, Norah S."	personal					ECU	Symphony	NCPersName
"Bernard, William H."	personal					ECU	Symphony	NCPersName
"Bernheim, G. D. (Gotthardt Dellman), 1827-1916"	personal					ECU	Symphony	NCPersName
"Bernstein, Aline, 1881-1955"	personal					ECU	Symphony	NCPersName
"Berrini, Deahn"	personal					ECU	Symphony	NCPersName
"Berson, Harold"	personal					ECU	Symphony	NCPersName
"Besse, Joseph, 1683?-1757"	personal					ECU	Symphony	NCPersName
"Betts, Charlotte"	personal					ECU	Symphony	NCPersName
"Betts, Doris"	personal					ECU	Symphony	NCPersName
"Beveridge, William Henry"	personal					ECU	Symphony	NCPersName
"Bickett, Thomas Walter, 1869-1921"	personal					ECU	Symphony	NCPersName
"Bieseker, R. H."	personal					ECU	Symphony	NCPersName
Big Adam	personal					ECU	Symphony	NCPersName
"Biggs, Asa, 1811-1878"	personal					ECU	Symphony	NCPersName
"Biggs, Joseph, 1766-1844"	personal					ECU	Symphony	NCPersName
"Biggs, Rosa Fulghum"	personal					ECU	Symphony	NCPersName
"Billingsley, Catherine"	personal					ECU	Symphony	NCPersName
"Bingham, Robert, 1838-1927"	personal					ECU	Symphony	NCPersName
"Bingham, Sallie"	personal					ECU	Symphony	NCPersName
"Bingham, Wm. (William), 1835-1873"	personal					ECU	Symphony	NCPersName
"Binnicker, Dana Pell"	personal					ECU	Symphony	NCPersName
"Bird, W. E."	personal					ECU	Symphony	NCPersName
"Bishop, Maggie, 1949-"	personal					ECU	Symphony	NCPersName
"Bishop, Nathaniel H. (Nathaniel Holmes), 1837-1902"	personal					ECU	Symphony	NCPersName
"Bishop, Noah (Fictitious Character)"	personal					ECU	Symphony	NCPersName
"Bissell, Sallie"	personal					ECU	Symphony	NCPersName
"Bittle, Camilla"	personal					ECU	Symphony	NCPersName
"Bivins, John, Jr., 1940-"	personal					ECU	Symphony	NCPersName
"Black, Faundell"	personal					ECU	Symphony	NCPersName
"Blackburn, Marion"	personal					ECU	Symphony	NCPersName
"Blackburn, Paul, 1926-1971"	personal					ECU	Symphony	NCPersName
"Blackburn, William, 1899-1972"	personal					ECU	Symphony	NCPersName
"Blackmore, James H."	personal					ECU	Symphony	NCPersName
"Blair, J. A. (Joseph Addison), 1830-"	personal					ECU	Symphony	NCPersName
"Blair, J. A., 1830-"	personal					ECU	Symphony	NCPersName
"Blair, Thomas L."	personal					ECU	Symphony	NCPersName
"Blaisdell, Elinore, 1904-1994"	personal					ECU	Symphony	NCPersName
"Blake, Adele, 1929-1985"	personal					ECU	Symphony	NCPersName
"Blake, Rosanna A."	personal					ECU	Symphony	NCPersName
"Blake, William H. D."	personal					ECU	Symphony	NCPersName
"Blakeslee, B. F. (Bernard F.)"	personal					ECU	Symphony	NCPersName
"Blakeslee, Sarah"	personal					ECU	Symphony	NCPersName
"Blakeslee, Sarah, 1912- "	personal					ECU	Symphony	NCPersName
"Blanchard, Joshua P. (Joshua Pollard), 1782-1868"	personal					ECU	Symphony	NCPersName
"Blanding, Stephen F."	personal					ECU	Symphony	NCPersName
"Blankenship, Lela McDowell"	personal					ECU	Symphony	NCPersName
"Bledsoe, Jerry"	personal					ECU	Symphony	NCPersName
"Bliss, Lauralee"	personal					ECU	Symphony	NCPersName
"Bliven, Herbert A."	personal					ECU	Symphony	NCPersName
"Bliven, Jeremy E."	personal					ECU	Symphony	NCPersName
"Blomquist, H. L., 1888-1964"	personal					ECU	Symphony	NCPersName
"Bloomfield, Howard Van Lieu, 1900-"	personal					ECU	Symphony	NCPersName
"Blount, F.C.P."	personal					ECU	Symphony	NCPersName
"Blount, William, 1749-1800"	personal					ECU	Symphony	NCPersName
"Blue, Ally"	personal					ECU	Symphony	NCPersName
"Blume, Eugen"	personal					ECU	Symphony	NCPersName
"Blythe, LeGette, 1900-1993"	personal					ECU	Symphony	NCPersName
"Boan, Bob"	personal					ECU	Symphony	NCPersName
"Boat, Sarah"	personal					ECU	Symphony	NCPersName
"Boccaccio, Mary"	personal					ECU	Symphony	NCPersName
"Boeshaar, Andrea"	personal					ECU	Symphony	NCPersName
"Boggs, Carson D."	personal					ECU	Symphony	NCPersName
"Boggs, Martha Frye"	personal					ECU	Symphony	NCPersName
"Boggs, William Robertson, 1829-1911"	personal					ECU	Symphony	NCPersName
"Boles, Stella Lawson"	personal					ECU	Symphony	NCPersName
"Bollen, Melanie"	personal					ECU	Symphony	NCPersName
"Bolton, Elizabeth"	personal					ECU	Symphony	NCPersName
"Bolton, Ivy (Ivy May), 1879-"	personal					ECU	Symphony	NCPersName
"Bond, W. R. (William R.), 1839-"	personal					ECU	Symphony	NCPersName
"Bone, Patrick"	personal					ECU	Symphony	NCPersName
"Boner, John Henry, 1845-1903"	personal					ECU	Symphony	NCPersName
"Bongâe, Lyle"	personal					ECU	Symphony	NCPersName
"Bonnamy, Francis"	personal					ECU	Symphony	NCPersName
"Bonnefoux, Melanie Lee"	personal					ECU	Symphony	NCPersName
"Bonner, Brynn, 1950-"	personal					ECU	Symphony	NCPersName
"Bonner, Lottie Hale"	personal					ECU	Symphony	NCPersName
"Bonnet, Stede, -1718"	personal					ECU	Symphony	NCPersName
"Bonny, Anne, 1700-"	personal					ECU	Symphony	NCPersName
