name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Cox, Venetia"	personal					ECU	ArchivesSpace	PersonCreator
"Cox, Zach D."	personal					ECU	ArchivesSpace	PersonCreator
"Coxe, Alexander B., Sr."	personal					ECU	ArchivesSpace	PersonCreator
"Coxe, Alexander Bacon, b. 1910"	personal					ECU	ArchivesSpace	PersonCreator
"Crabtree, Beth G."	personal					ECU	ArchivesSpace	PersonCreator
"Crawford, Harold L."	personal					ECU	ArchivesSpace	PersonCreator
"Crawford, William B."	personal					ECU	ArchivesSpace	PersonCreator
"Credle, Eunice Mann"	personal					ECU	ArchivesSpace	PersonCreator
"Creech, Stephen K."	personal					ECU	ArchivesSpace	PersonCreator
"Creighton, Johnston Blakeley, 1822-1883"	personal					ECU	ArchivesSpace	PersonCreator
"Crenshaw, Gordon L."	personal					ECU	ArchivesSpace	PersonCreator
"Crenshaw, Russell S."	personal					ECU	ArchivesSpace	PersonCreator
"Crews, Harry"	personal					ECU	ArchivesSpace	PersonCreator
"Crisp, Lucy Cherry"	personal					ECU	ArchivesSpace	PersonCreator
"Cromartie, J. Henry, Mrs."	personal					ECU	ArchivesSpace	PersonCreator
"Crommelin, Quentin C."	personal					ECU	ArchivesSpace	PersonCreator
"Croom, Elizabeth Rudder Fearrington"	personal					ECU	ArchivesSpace	PersonCreator
"Croom, Pearl Peed"	personal					ECU	ArchivesSpace	PersonCreator
"Croom, William J., d. 1940"	personal					ECU	ArchivesSpace	PersonCreator
"Croteau, Robert Leo"	personal					ECU	ArchivesSpace	PersonCreator
"Cuccias, Frank P."	personal					ECU	ArchivesSpace	PersonCreator
"Culpepper, Bolivar N."	personal					ECU	ArchivesSpace	PersonCreator
"Cummings, Paul M., Jr."	personal					ECU	ArchivesSpace	PersonCreator
"Cunningham, Caroline"	personal					ECU	ArchivesSpace	PersonCreator
"Cunningham, J. V. (James Vincent)"	personal					ECU	ArchivesSpace	PersonCreator
"Curl, Exum L."	personal					ECU	ArchivesSpace	PersonCreator
Daisy B. Rowe	personal					ECU	ArchivesSpace	PersonCreator
"Dale, Zachary"	personal					ECU	ArchivesSpace	PersonCreator
"Dall, Charles Henry Appleton"	personal					ECU	ArchivesSpace	PersonCreator
"Daly, William J."	personal					ECU	ArchivesSpace	PersonCreator
"Dana, George E."	personal					ECU	ArchivesSpace	PersonCreator
"Daniels, Walter L."	personal					ECU	ArchivesSpace	PersonCreator
"Danley, Raymond"	personal					ECU	ArchivesSpace	PersonCreator
"Dansereau, Raymond J."	personal					ECU	ArchivesSpace	PersonCreator
"Darden, Charles Bennett"	personal					ECU	ArchivesSpace	PersonCreator
"Darden, Nancy S."	personal					ECU	ArchivesSpace	PersonCreator
"Darden, Vivian N. (Vivan Norfleet)"	personal					ECU	ArchivesSpace	PersonCreator
"Darga, Anthony J."	personal					ECU	ArchivesSpace	PersonCreator
"Darkis, Fred R."	personal					ECU	ArchivesSpace	PersonCreator
"Darrow, William C."	personal					ECU	ArchivesSpace	PersonCreator
"Darst, Thomas Campbell"	personal					ECU	ArchivesSpace	PersonCreator
"Davenport, John B."	personal					ECU	ArchivesSpace	PersonCreator
"Davidson, Donald (Donald Grady)"	personal					ECU	ArchivesSpace	PersonCreator
